audit_id,operation_type,transaction_id,type_id,user_id,created_at,changed_by,account_number,recipient_number,amount,comment,status_id,legal_type_id,transaction_date,sender_bank_id,recipient_bank_id,recipient_tin,category_id,recipient_phone,new_legal_type_id,new_transaction_date,new_comment,new_amount,new_status_id,new_sender_bank_id,new_recipient_bank_id,new_recipient_tin,new_category_id,new_recipient_phone
69,INSERT,1165,1,1,2025-05-12 19:18:36.375331,1,40817810000864043900,40817810000936315866,,,,,,,,,,,2,2024-01-19,Автотестовая транзакция,48231.97,4,3,4,61302104762,10,+78846640163
70,INSERT,1166,1,2,2025-05-12 19:18:36.375331,2,40817810000548309306,40817810000009708049,,,,,,,,,,,1,2024-01-20,Автотестовая транзакция,29075.28,3,4,3,82652409918,6,80759945021
71,INSERT,1167,1,2,2025-05-12 19:18:36.375331,2,40817810000520503825,40817810000042705625,,,,,,,,,,,1,2024-01-21,Автотестовая транзакция,38661.24,6,3,3,22438010480,4,+72297721577
72,INSERT,1168,1,2,2025-05-12 19:18:36.375331,2,40817810000564790316,40817810000436949914,,,,,,,,,,,2,2024-01-22,Автотестовая транзакция,36901.50,4,2,2,40164443738,2,81243929391
73,INSERT,1169,1,1,2025-05-12 19:18:36.375331,1,40817810000679648572,40817810000053355766,,,,,,,,,,,1,2024-01-23,Автотестовая транзакция,22938.09,5,3,3,79605142633,7,+77210244404
74,INSERT,1170,1,2,2025-05-12 19:18:36.375331,2,40817810000334478808,40817810000587863449,,,,,,,,,,,2,2024-01-24,Автотестовая транзакция,9565.10,4,4,5,21249959908,3,83517134326
75,INSERT,1171,2,2,2025-05-12 19:18:36.375331,2,40817810000624520526,40817810000337622483,,,,,,,,,,,2,2024-01-25,Автотестовая транзакция,38946.02,5,2,4,65299408770,11,+78087514059
76,INSERT,1172,1,1,2025-05-12 19:18:36.375331,1,40817810000073956478,40817810000858534482,,,,,,,,,,,2,2024-01-26,Автотестовая транзакция,31537.20,5,3,2,55081061232,4,81226202428
77,INSERT,1173,2,2,2025-05-12 19:18:36.375331,2,40817810000489716207,40817810000543105058,,,,,,,,,,,1,2024-01-27,Автотестовая транзакция,49426.93,5,4,2,55508580989,2,+70678079665
78,INSERT,1174,2,2,2025-05-12 19:18:36.375331,2,40817810000829606878,40817810000737060449,,,,,,,,,,,1,2024-01-28,Автотестовая транзакция,21838.38,5,4,5,95719948253,5,82544015929
79,INSERT,1175,1,2,2025-05-12 19:18:36.375331,2,40817810000201864015,40817810000212908892,,,,,,,,,,,2,2024-01-29,Автотестовая транзакция,26956.22,3,3,3,99899730799,11,86974973645
80,INSERT,1176,2,1,2025-05-12 19:18:36.375331,1,40817810000213312872,40817810000478759658,,,,,,,,,,,2,2024-01-30,Автотестовая транзакция,37243.39,5,3,4,97084695592,6,83383923310
81,INSERT,1177,2,2,2025-05-12 19:18:36.375331,2,40817810000789581527,40817810000017751112,,,,,,,,,,,2,2024-01-31,Автотестовая транзакция,22100.69,4,4,4,95044999403,5,86730906833
82,INSERT,1178,1,2,2025-05-12 19:18:36.375331,2,40817810000820865012,40817810000098768778,,,,,,,,,,,1,2024-02-01,Автотестовая транзакция,32306.90,5,3,3,63220119437,1,83933309604
83,INSERT,1179,2,2,2025-05-12 19:18:36.375331,2,40817810000417887869,40817810000235576020,,,,,,,,,,,1,2024-02-02,Автотестовая транзакция,42596.02,3,4,4,85549655994,3,80268783109
84,INSERT,1180,1,1,2025-05-12 19:18:36.375331,1,40817810000233165728,40817810000299992160,,,,,,,,,,,2,2024-02-03,Автотестовая транзакция,22066.07,5,5,4,98328189416,3,+72343102174
85,INSERT,1181,1,1,2025-05-12 19:18:36.375331,1,40817810000312018158,40817810000865377995,,,,,,,,,,,1,2024-02-04,Автотестовая транзакция,4898.54,6,3,3,67363891020,8,89626431299
86,INSERT,1182,1,2,2025-05-12 19:18:36.375331,2,40817810000892762968,40817810000695080542,,,,,,,,,,,2,2024-02-05,Автотестовая транзакция,19850.55,4,4,2,77207128149,8,80921029404
87,INSERT,1183,2,1,2025-05-12 19:18:36.375331,1,40817810000475385229,40817810000356155402,,,,,,,,,,,1,2024-02-06,Автотестовая транзакция,9872.13,7,3,2,67377309600,9,+73175032004
88,INSERT,1184,1,2,2025-05-12 19:18:36.375331,2,40817810000470000232,40817810000997250830,,,,,,,,,,,1,2024-02-07,Автотестовая транзакция,33698.00,5,2,3,85754748827,5,80021877868
89,INSERT,1185,2,1,2025-05-12 19:18:36.375331,1,40817810000291719880,40817810000125130315,,,,,,,,,,,2,2024-02-08,Автотестовая транзакция,41777.49,3,4,4,15838323114,2,+77381408560
90,INSERT,1186,2,2,2025-05-12 19:18:36.375331,2,40817810000336672043,40817810000589689663,,,,,,,,,,,2,2024-02-09,Автотестовая транзакция,26786.47,1,3,3,60522616310,7,85364388232
91,INSERT,1187,2,2,2025-05-12 19:18:36.375331,2,40817810000067793392,40817810000185107312,,,,,,,,,,,1,2024-02-10,Автотестовая транзакция,43254.09,6,1,2,46094098082,7,83579687856
92,INSERT,1188,1,2,2025-05-12 19:18:36.375331,2,40817810000211124521,40817810000756715657,,,,,,,,,,,1,2024-02-11,Автотестовая транзакция,33919.35,2,4,1,44908163045,7,+76582328187
93,INSERT,1189,1,2,2025-05-12 19:18:36.375331,2,40817810000778133951,40817810000913965075,,,,,,,,,,,1,2024-02-12,Автотестовая транзакция,50325.36,3,2,4,95428559815,8,86028600479
94,INSERT,1190,2,1,2025-05-12 19:18:36.375331,1,40817810000108486747,40817810000904610384,,,,,,,,,,,2,2024-02-13,Автотестовая транзакция,39323.06,7,4,3,45098397629,12,88153897370
95,INSERT,1191,2,2,2025-05-12 19:18:36.375331,2,40817810000458216045,40817810000229160624,,,,,,,,,,,1,2024-02-14,Автотестовая транзакция,42217.75,4,5,5,45283102853,9,+77218056088
96,INSERT,1192,1,1,2025-05-12 19:18:36.375331,1,40817810000052851178,40817810000191731408,,,,,,,,,,,2,2024-02-15,Автотестовая транзакция,27314.36,5,5,3,35879804905,3,+74092259051
97,INSERT,1193,1,1,2025-05-12 19:18:36.375331,1,40817810000312079497,40817810000987881307,,,,,,,,,,,2,2024-02-16,Автотестовая транзакция,49280.81,3,2,5,68158025457,11,87827891206
98,INSERT,1194,2,2,2025-05-12 19:18:36.375331,2,40817810000049634328,40817810000970060327,,,,,,,,,,,2,2024-02-17,Автотестовая транзакция,12054.44,3,4,2,93916669693,9,+71083863724
99,INSERT,1195,1,2,2025-05-12 19:18:36.375331,2,40817810000205986428,40817810000092065584,,,,,,,,,,,1,2024-02-18,Автотестовая транзакция,43154.69,6,5,3,28871045260,11,85037770922
100,INSERT,1196,1,1,2025-05-12 19:18:36.375331,1,40817810000361832298,40817810000775452234,,,,,,,,,,,2,2024-02-19,Автотестовая транзакция,5172.92,4,3,3,85802045182,3,+70642819854
101,INSERT,1197,1,1,2025-05-12 19:18:36.375331,1,40817810000230170722,40817810000047110485,,,,,,,,,,,2,2024-02-20,Автотестовая транзакция,49450.38,4,3,1,93504621572,5,+70470841600
102,INSERT,1198,2,2,2025-05-12 19:18:36.375331,2,40817810000707195007,40817810000066829304,,,,,,,,,,,2,2024-02-21,Автотестовая транзакция,13794.30,3,4,3,69379469549,7,+79597336558
103,INSERT,1199,1,1,2025-05-12 19:18:36.375331,1,40817810000362921354,40817810000874768681,,,,,,,,,,,2,2024-02-22,Автотестовая транзакция,8366.24,2,3,4,24561225309,8,+71292107710
104,INSERT,1200,1,1,2025-05-12 19:18:36.375331,1,40817810000017984110,40817810000544502078,,,,,,,,,,,1,2024-02-23,Автотестовая транзакция,16142.39,5,4,1,97020538938,11,83503532934
105,INSERT,1201,2,2,2025-05-12 19:18:36.375331,2,40817810000788934107,40817810000346484800,,,,,,,,,,,2,2024-02-24,Автотестовая транзакция,18997.35,4,4,3,27330146544,1,+78027041256
106,INSERT,1202,2,2,2025-05-12 19:18:36.375331,2,40817810000756496796,40817810000758845846,,,,,,,,,,,1,2024-02-25,Автотестовая транзакция,11370.21,3,4,3,87759960443,7,88695270536
107,INSERT,1203,2,1,2025-05-12 19:18:36.375331,1,40817810000866265846,40817810000130691743,,,,,,,,,,,2,2024-02-26,Автотестовая транзакция,48207.36,4,2,3,60087208756,10,81991588784
108,INSERT,1204,2,2,2025-05-12 19:18:36.375331,2,40817810000535687504,40817810000055035007,,,,,,,,,,,1,2024-02-27,Автотестовая транзакция,10318.11,6,5,2,52039784867,4,+70607664233
109,INSERT,1205,2,1,2025-05-12 19:18:36.375331,1,40817810000535686842,40817810000488220494,,,,,,,,,,,1,2024-02-28,Автотестовая транзакция,15136.34,3,3,3,95911363756,4,83285505185
110,INSERT,1206,2,2,2025-05-12 19:18:36.375331,2,40817810000507993313,40817810000229973761,,,,,,,,,,,2,2024-02-29,Автотестовая транзакция,8037.00,3,3,3,23010780038,8,+75648116509
111,INSERT,1207,2,2,2025-05-12 19:18:36.375331,2,40817810000850102362,40817810000276056091,,,,,,,,,,,2,2024-03-01,Автотестовая транзакция,36268.37,4,4,3,37403201202,3,+79286812420
112,INSERT,1208,2,2,2025-05-12 19:18:36.375331,2,40817810000390470724,40817810000703344989,,,,,,,,,,,1,2024-03-02,Автотестовая транзакция,2411.90,6,2,3,31657351682,9,82694744584
113,INSERT,1209,2,1,2025-05-12 19:18:36.375331,1,40817810000932183357,40817810000216134495,,,,,,,,,,,1,2024-03-03,Автотестовая транзакция,49463.49,3,2,1,37117060749,9,+77717975295
114,INSERT,1210,1,1,2025-05-12 19:18:36.375331,1,40817810000043226249,40817810000254213755,,,,,,,,,,,1,2024-03-04,Автотестовая транзакция,15623.87,3,1,1,46867376741,9,82688261654
115,INSERT,1211,2,2,2025-05-12 19:18:36.375331,2,40817810000410848102,40817810000732767290,,,,,,,,,,,2,2024-03-05,Автотестовая транзакция,36112.15,5,3,4,89189741897,2,+76212220130
116,INSERT,1212,1,1,2025-05-12 19:18:36.375331,1,40817810000074405148,40817810000367280394,,,,,,,,,,,1,2024-03-06,Автотестовая транзакция,15712.14,6,4,4,59072191021,2,+76697780902
117,INSERT,1213,1,1,2025-05-12 19:18:36.375331,1,40817810000460458798,40817810000003171362,,,,,,,,,,,2,2024-03-07,Автотестовая транзакция,40439.89,5,4,2,30667482187,10,87848075203
118,INSERT,1214,2,1,2025-05-12 19:18:36.375331,1,40817810000385774587,40817810000645947391,,,,,,,,,,,1,2024-03-08,Автотестовая транзакция,6169.15,5,2,1,72366936191,10,82148230906
119,INSERT,1215,1,2,2025-05-12 19:18:36.375331,2,40817810000283088307,40817810000114796373,,,,,,,,,,,1,2024-03-09,Автотестовая транзакция,14710.23,1,2,1,61901399045,3,82269870175
120,INSERT,1216,1,1,2025-05-12 19:18:36.375331,1,40817810000600821491,40817810000147310866,,,,,,,,,,,1,2024-03-10,Автотестовая транзакция,1390.34,3,5,2,76001681710,11,+71885226171
121,INSERT,1217,2,2,2025-05-12 19:18:36.375331,2,40817810000078022411,40817810000068791128,,,,,,,,,,,1,2024-03-11,Автотестовая транзакция,2723.31,7,2,2,56950648615,11,+79694930902
122,INSERT,1218,1,2,2025-05-12 19:18:36.375331,2,40817810000141185714,40817810000974480484,,,,,,,,,,,2,2024-03-12,Автотестовая транзакция,18308.08,1,2,3,14292853377,3,+74035470819
123,INSERT,1219,1,1,2025-05-12 19:18:36.375331,1,40817810000299817567,40817810000436908493,,,,,,,,,,,1,2024-03-13,Автотестовая транзакция,36515.77,3,3,4,27804634609,7,+73067352623
124,INSERT,1220,1,1,2025-05-12 19:18:36.375331,1,40817810000040650984,40817810000144094393,,,,,,,,,,,1,2024-03-14,Автотестовая транзакция,8956.04,1,5,3,29135299601,11,+79720142896
125,INSERT,1221,1,2,2025-05-12 19:18:36.375331,2,40817810000036743604,40817810000180104655,,,,,,,,,,,1,2024-03-15,Автотестовая транзакция,48652.23,7,2,4,41998222354,9,88643810292
126,INSERT,1222,1,1,2025-05-12 19:18:36.375331,1,40817810000426902798,40817810000400014928,,,,,,,,,,,2,2024-03-16,Автотестовая транзакция,39850.22,5,4,3,14361071039,6,+73786822534
127,INSERT,1223,1,2,2025-05-12 19:18:36.375331,2,40817810000916632156,40817810000801817141,,,,,,,,,,,2,2024-03-17,Автотестовая транзакция,49096.49,1,3,3,48539595033,3,+78002412188
128,INSERT,1224,2,2,2025-05-12 19:18:36.375331,2,40817810000938644174,40817810000123891411,,,,,,,,,,,1,2024-03-18,Автотестовая транзакция,3442.62,1,2,4,45665127942,6,86798281327
129,INSERT,1225,2,1,2025-05-12 19:18:36.375331,1,40817810000441758773,40817810000355513279,,,,,,,,,,,2,2024-03-19,Автотестовая транзакция,6793.15,4,4,3,50872606720,3,80389754959
130,INSERT,1226,2,1,2025-05-12 19:18:36.375331,1,40817810000147239220,40817810000661115801,,,,,,,,,,,1,2024-03-20,Автотестовая транзакция,9537.84,3,3,4,98780733187,4,+73038301924
131,INSERT,1227,1,1,2025-05-12 19:18:36.375331,1,40817810000869824448,40817810000762208089,,,,,,,,,,,1,2024-03-21,Автотестовая транзакция,22655.96,4,5,2,54414600697,9,+75406419873
132,INSERT,1228,2,1,2025-05-12 19:18:36.375331,1,40817810000335655221,40817810000134271025,,,,,,,,,,,1,2024-03-22,Автотестовая транзакция,36379.25,3,3,4,75458033245,10,+75920387501
133,INSERT,1229,2,1,2025-05-12 19:18:36.375331,1,40817810000371159712,40817810000949827524,,,,,,,,,,,2,2024-03-23,Автотестовая транзакция,1006.37,5,2,4,81474642575,6,82424560311
134,INSERT,1230,1,2,2025-05-12 19:18:36.375331,2,40817810000091417584,40817810000362772693,,,,,,,,,,,1,2024-03-24,Автотестовая транзакция,43529.49,5,3,5,63828694713,11,+72782807277
